Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.2 298.2
0   0.198   0   0.001   
1   0.190   0.000   0   
2   0.181   0.000   0   
3   0.174   0.003   0.001   
4   0.168   0.003   0.001   
5   0.163   0.005   0.003   
6   0.158   0.007   0.003   
7   0.153   0.009   0.003   
8   0.149   0.010   0.005   
9   0.146   0.013   0.006   
10  0.143   0.014   0.006   
11  0.141   0.017   0.007   
12  0.137   0.019   0.007   
13  0.135   0.021   0.008   
14  0.133   0.023   0.009   
15  0.130   0.025   0.009   
16  0.128   0.028   0.010   
17  0.126   0.029   0.011   
18  0.123   0.031   0.011   
19  0.121   0.033   0.012   
100 0.047   0.115   0.029
