Time	A	D	U	C	T (K)
Initial Settings	0.2	0	0	0.2	348.2
0	0.204	0	0		
1	0.096	0.007	0.006		
2	0.072	0.019	0.011		
3	0.062	0.03	0.017		
4	0.057	0.04	0.02		
5	0.051	0.051	0.024		
6	0.048	0.059	0.027		
7	0.044	0.066	0.029		
8	0.04	0.073	0.031		
9	0.037	0.08	0.033		
10	0.033	0.085	0.035		
11	0.032	0.091	0.035		
12	0.03	0.096	0.036		
13	0.027	0.1	0.038		
14	0.025	0.104	0.037		
15	0.024	0.109	0.039		
16	0.022	0.112	0.039		
17	0.022	0.115	0.039		
18	0.02	0.119	0.04		
19	0.019	0.121	0.04		
20	0.017	0.124	0.04		
